"date","title","speaker","source","doc_type","text","url","primary_topic"
"2015-01-03","Financial stability and resilience","Silvana Tenreyro","boe","speech","Risks from non-bank financial institutions warrant continued monitoring. Leverage in certain hedge fund strategies remains elevated. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.

Financial conditions have remained broadly stable since our last assessment. Equity markets have risen, while corporate bond spreads have remained stable. Overall, financial conditions remain restrictive for the current stage of the cycle.

The global economic environment remains resilient. Growth in major trading partners has remained resilient, with divergent paths across regions. The United States continues to grow above trend, while Latin America faces fiscal consolidation needs.","https://example.com/boe/20150103-0","financial_stability"
"2015-01-17","The stability of the financial system","Jerome Powell","fed","speech","Financial conditions have fallen since our last assessment. Equity markets have risen, while corporate bond spreads have remained stable. Overall, financial conditions remain neutral for the current stage of the cycle.

Risks from non-bank financial institutions warrant continued monitoring. Leverage in certain hedge fund strategies remains elevated. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.","https://example.com/fed/20150117-1","financial_stability"
"2015-02-05","Monetary policy in the current environment","Committee","ecb","minutes","Looking at the path of interest rates, market pricing suggests expectations of one further increase followed by a pause. Our forward guidance remains data-dependent: we will assess the evolving outlook at each meeting and adjust the policy stance as warranted by incoming information on inflation and economic activity.

The transmission of our previous rate adjustments to the real economy is still working through. Mortgage rates have begun to ease, and credit conditions have remained tight. The full impact of cumulative tightening is expected to materialise over the coming quarters.

Financial conditions have fallen since our last assessment. Equity markets have risen, while corporate bond spreads have widened. Overall, financial conditions remain neutral for the current stage of the cycle.","https://example.com/ecb/20150205-2","interest_rate_policy"
"2015-03-01","Financial stability and resilience","Silvana Tenreyro","boe","speech","Risks from non-bank financial institutions warrant continued monitoring. Growth in private credit markets warrants close monitoring. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.

Financial conditions have fallen since our last assessment. Equity markets have risen, while corporate bond spreads have widened. Overall, financial conditions remain neutral for the current stage of the cycle.","https://example.com/boe/20150301-3","financial_stability"
"2015-03-17","Growth prospects and structural change","Philip Jefferson","fed","speech","The economy grew by 2.8% in the latest quarter, slightly below market expectations. Business investment has recovered, supported by public sector spending. The services sector continues to expand steadily, while manufacturing output has stabilised.

Household consumption remains resilient, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has improved in recent months. The housing market shows signs of stabilisation.

Our central projection is for GDP growth of 0.8% in 2026, with risks skewed to the downside. Potential output growth is estimated at around 1.2%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.","https://example.com/fed/20150317-4","economic_growth"
"2015-04-04","The international economic outlook","Piero Cipollone","ecb","speech","Commodity prices, particularly natural gas, have risen sharply. This reflects weakening global demand. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.

The global economic environment remains gradually loosening. Growth in major trading partners has diverged, with divergent paths across regions. China continues to grow above trend, while Latin America faces capital outflow pressures.","https://example.com/ecb/20150404-5","global_risks"
"2015-04-23","Inflation dynamics and the path ahead","Huw Pill","boe","speech","Our projections indicate that inflation will converge over the medium term, converging towards our 2% target by late 2025. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

Inflation has moderated over the past quarter, with headline CPI edging down to 5.2%. Core inflation, which strips out volatile food and energy prices, has remained sticky. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.

The persistence of inflationary pressures reflects a combination of supply-side constraints and robust domestic demand. While energy prices have stabilised, services inflation remains elevated. The pass-through from producer prices to consumer prices continues to evolve, and we expect continued moderation in the coming months.","https://example.com/boe/20150423-6","inflation_outlook"
"2015-05-13","Labour market dynamics and wages","Michelle Bowman","fed","speech","Labour force participation has stabilised, partly reflecting early retirement trends. Skills shortages persist in healthcare and technology, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.

The labour market remains resilient, with the unemployment rate at 3.4%. Employment has increased by 200k over the quarter. Vacancies have continued to fall but remain near historical norms by historical standards.

The labour market remains resilient, with the unemployment rate at 2.1%. Employment has increased by 200k over the quarter. Vacancies have stabilised but remain near historical norms by historical standards.

Commodity prices, particularly oil, have risen sharply. This reflects supply disruptions. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.","https://example.com/fed/20150513-7","labour_market"
"2015-06-05","The international economic outlook","Christine Lagarde","ecb","speech","Commodity prices, particularly oil, have remained volatile. This reflects supply disruptions. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.

Commodity prices, particularly oil, have fallen. This reflects geopolitical risk premia. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.

The persistence of inflationary pressures reflects a combination of supply-side constraints and robust domestic demand. While energy prices have stabilised, services inflation remains above target-consistent levels. The pass-through from producer prices to consumer prices continues to evolve, and we expect further easing in the coming months.","https://example.com/ecb/20150605-8","global_risks"
"2015-06-19","The changing nature of work","Ben Broadbent","boe","speech","Wage growth has moderated to 5.2% in annual terms. Private sector regular pay growth of 6.3% continues to exceed rates consistent with the inflation target, given current productivity trends. We are monitoring closely for signs of a wage-price spiral.

Labour force participation has stabilised, partly reflecting long-term sickness. Skills shortages persist in healthcare and technology, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.

Risks from non-bank financial institutions warrant continued monitoring. Leverage in certain hedge fund strategies remains elevated. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.","https://example.com/boe/20150619-9","labour_market"
