Topic,Count,Name,Representation,Representative_Docs,top_words
-1,7502,-1_fomc_pce_trade_wouldnt,"['fomc', 'pce', 'trade', 'wouldnt', 'tools', 'accommodation', 'productivity', 'dont', 'im', 'work']","['Now, the path that you see in the dot plot for rates over time is importantly influenced—there is accommodation , and as we achieve our objectives, I think most participants feel that the accommodation in the current stance of policy needs to be gradually removed, but a very important influence in the out years is, what will happen to that neutral rate that will just keep the economy operating on an even keel?', 'And I think confidence comes from seeing, you know, enough data that you feel like, “Yes, okay, this feels like it—we can—we can, for now, decide that this is the right level and just agree to stay here.” We’re not permanently deciding not to go higher, but, but we would—let’s say, if we get to that level—and then the question is, how long do you stay at that level?', 'I think it’s, it’s—we think that rates were generally low during the pre-pandemic post–Global Financial Crisis era for reasons that are mostly, you know, important, slow-moving, large things like demographics and productivity and that sort of thing—things that don’t move quickly.']",
0,1071,0_inflation expectations_inflation_headline_expectations,"['inflation expectations', 'inflation', 'headline', 'expectations', 'core', 'core inflation', 'readings', 'inflation come', 'inflation coming', 'inflation know']","['Headline, of course, inflation has come down materially, but, as you know, we look at core [inflation] as a better indicator of where inflation overall is going.', 'And, as I mentioned in my press statement, especially with the downward pressures on inflation that we expect to see for a little while because of declining oil prices and falling import prices, we certainly expect headline inflation to be under downward pressure for a while.', 'But we do need to monitor inflation very carefully because if energy prices and the dollar were to stabilize, import prices, our expectation is that both headline and core inflation would move up.']","inflation expectations, inflation, headline, expectations, core, core inflation, readings, inflation come, inflation coming, inflation know"
1,1042,1_labor_labor market_labor force_participation,"['labor', 'labor market', 'labor force', 'participation', 'force', 'job', 'jobs', 'force participation', 'market', 'creation']","['It showed labor force participation coming up as—up above many estimates of its trend, as people who’d been out of the labor force were being pulled into a tight job market.', 'So I would say, if you look at the labor market and you look at the demand for workers and the level of job creation and think ahead, I think it’s clear, and I am confident, that we are on a path to a very strong labor market—a labor market that, that shows low unemployment, high participation, rising wages for people across the spectrum.', 'I would say, we would like to get back—rather than to a particular number, we’d like to get back to a strong labor market where wages are moving up, where people can find work, where labor force participation is holding up nicely.']","labor, labor market, labor force, participation, force, job, jobs, force participation, market, creation"
2,785,2_economy_emerging_economic_support economy,"['economy', 'emerging', 'economic', 'support economy', 'economies', 'emerging markets', 'economic activity', 'evolves', 'economy just', 'manufacturing']","['So we think that the current stance of policy is likely to remain appropriate—likely to remain appropriate —as long as incoming information about the economy is broadly consistent with our outlook, which is a positive one of moderate economic growth, strong labor market, and inflation moving close to 2 percent.', 'First of all, the U.S. economy has been very resilient in recent months in the face of shocks, and we highlighted that right at the beginning of our statement, where we said that “economic activity has been expanding at a moderate pace despite the global economic and financial developments of recent months.” And that—that is important, that the U .S. economy continues to do well.', 'What we’re going to be doing, assuming we September 26, 2018 Chairman Powe ll’s Press Conference FINAL stay on this path, is, we’re going to be carefully monitoring incoming data from the financial markets and from the economy and asking ourselves whether our policy is achieving the goals we want to achieve—you know, sustain the economy, maximum employment, stable prices.']","economy, emerging, economic, support economy, economies, emerging markets, economic activity, evolves, economy just, manufacturing"
3,478,3_step_thats doing_thats thats_doing,"['step', 'thats doing', 'thats thats', 'doing', 'important', 'important thing', 'good thing', 'job', 'committed', 'thats important']","['It’s probably the most important thing we’re doing now is that.', 'That, I think, is—is right now the most important thing that we’re doing.', 'And I think today is a very good first step in doing that.']","step, thats doing, thats thats, doing, important, important thing, good thing, job, committed, thats important"
4,455,4_unemployment_unemployment rate_percent unemployment_slack,"['unemployment', 'unemployment rate', 'percent unemployment', 'slack', 'rate', 'natural', 'groups', 'longerrun normal', 'slack economy', 'longerrun']","['The standard unemployment rate, for quite some time now, has been signaling a little bit less slack in the labor market than measures that are somewhat broader that, for example, include the unusually large number of people who were part-time employed but would prefer full-time jobs.', 'And we know that because the unemployment rate has ticked up.', 'At 5.5 percent, where we have an unemployment rate that still exceeds the Committee’s best attempts to estimate what is a normal unemployment rate for this economy, and, as I mentioned, there appear to be unusually large elements of slack over and above that in the form of somewhat still-depressed labor force participation and part-time work for economic reasons.']","unemployment, unemployment rate, percent unemployment, slack, rate, natural, groups, longerrun normal, slack economy, longerrun"
5,405,5_inflation percent_percent inflation_percent_percent time,"['inflation percent', 'percent inflation', 'percent', 'percent time', 'objective', 'percent objective', 'bring inflation', 'sustainably', 'inflation objective', 'inflation running']","['And, you know, we think that inflation expectations are very important in driving actual inflation, and we’re strongly committed to achieving our 2 percent inflation objective on a symmetric basis.', 'As for the Committee, we are committed to achieving a stance of monetary policy that’s sufficiently restrictive to bring inflation down to 2 percent over time, and we’re not confident yet that we have achieved such a stance.', 'We’re still very focused on the first question, which is, have we achieved a stance of monetary policy that’s sufficiently restrictive to bring inflation down to 2 percent over time sustainably?']","inflation percent, percent inflation, percent, percent time, objective, percent objective, bring inflation, sustainably, inflation objective, inflation running"
6,392,6_think policy_stance_restrictive_policy stance,"['think policy', 'stance', 'restrictive', 'policy stance', 'policy', 'stance policy', 'policy restrictive', 'policies', 'accommodative', 'appropriate']","['We think, for now, our policy stance is appropriate.', 'I think our policy stance is appropriate and likely to remain so as long as the outlook is broadly like this.', 'We think our policy stance is appropriate right now.']","think policy, stance, restrictive, policy stance, policy, stance policy, policy restrictive, policies, accommodative, appropriate"
7,387,7_data_incoming data_incoming_outlook,"['data', 'incoming data', 'incoming', 'outlook', 'data dependent', 'data evolving', 'evolving', 'dependent', 'outlook balance', 'depend']","['You’ve got to be looking—I always—we always talk about the incoming data, the evolving outlook, and the balance of risks.', 'A good place to start is the—is the SEP, but let me start with what I said, which was that we’re going to be making decisions meeting by meeting based on the incoming data, the evolving outlook, the balance of risks.', 'The actual decisions we make are going to be based on the incoming data, the evolving outlook, and the balance of risks at the time the decisions are actually made.']","data, incoming data, incoming, outlook, data dependent, data evolving, evolving, dependent, outlook balance, depend"
8,381,8_rate increases_rates_policy rate_rate cuts,"['rate increases', 'rates', 'policy rate', 'rate cuts', 'cuts', 'raise rates', 'rate hikes', 'cut', 'rate', 'hikes']","['I think we’ve done—we’ve done very large rate hikes and very large rate cuts in the last five years, and you tend to do those at a time when you feel that policy is out of place and needs to move quickly to a new place.', 'And, as a lot of academic research shows, you know, when you’re close to the zero lower bound, by telling markets that you’re going to keep rates low for a significant period, that’s one way to get longer-term rates down and to provide more stimulus to the economy.', 'I guess the sense of your question is that we could be in a situation in the future—we hope not , but—we could be in a situation where we ’d like to cut rates more than we can effectively, and we hit the zero lower bound.']","rate increases, rates, policy rate, rate cuts, cuts, raise rates, rate hikes, cut, rate, hikes"
9,380,9_monetary policy_monetary_lags_policy,"['monetary policy', 'monetary', 'lags', 'policy', 'variable', 'accommodative monetary', 'longerrun goals', 'stance monetary', 'statement longerrun', 'goals monetary']","['And so much of it is really not down to monetary policy.', 'And we do—we do monetary policy.', 'We have—w e have a full plate with monetary policy.']","monetary policy, monetary, lags, policy, variable, accommodative monetary, longerrun goals, stance monetary, statement longerrun, goals monetary"
10,334,10_growth_gdp_growth year_potential,"['growth', 'gdp', 'growth year', 'potential', 'potential growth', 'growing', 'global growth', 'year', 'strong growth', 'trend']","['In the meantime, if you look at the growth in economic activity data, retail sales data that we just got, second-quarter GDP—all of this indicates an economy that is still growing at a solid pace.', 'So you have still healthy levels of growth in the aggregate around the world but close to the potential growth rate of, you know, the December 19, 2018 Chairman Powe ll’s Press Conference FINAL global economy.', 'Encouraging has been that growth—you know, the growth, clearly, that we had last year, particularly the second half of last year, and we continue to see still-strong growth—solid growth this year.']","growth, gdp, growth year, potential, potential growth, growing, global growth, year, strong growth, trend"
11,331,11_purchases_asset purchases_treasury_asset,"['purchases', 'asset purchases', 'treasury', 'asset', 'securities', 'treasuries', 'purchase', 'billion', 'secretary', 'buying']","['With asset purchases, we’re continuing to purchase Treasury securities and agency MBS in the amounts needed to support smooth market functioning.', 'We think that our asset purchases in their current form—which is to say, you know, across the curve, $80 billion in Treasuries, $40 billion in mortgage-backed securities on net—we think that’s, that’s the right place for our asset purchases.', 'We also, though, think that these asset purchases, which total $120 billion a month—you know, which is much larger than, for example, the last asset purchase program during the Global Financial Crisis and the recovery therefrom—we think that’s also providing accommodative financial conditions and supporting growth.']","purchases, asset purchases, treasury, asset, securities, treasuries, purchase, billion, secretary, buying"
12,324,12_watching_watching carefully_carefully_couple things,"['watching', 'watching carefully', 'carefully', 'couple things', 'monitoring', 'monitor', 'monitoring carefully', 'say couple', 'course watching', 'things looking']","['We, of course, will be watching very carefully to see that is the case.', 'So those are—those are both things that we’re watching very, very, very carefully.', 'So we look at that, and we will be watching all of it very, very carefully.']","watching, watching carefully, carefully, couple things, monitoring, monitor, monitoring carefully, say couple, course watching, things looking"
13,322,13_banks_banking_capital_stress,"['banks', 'banking', 'capital', 'stress', 'largest', 'community', 'bank', 'requirements', 'tests', 'institutions']","['We have stress tests, which force banks to understand—the largest banks particularly—to understand and better manage their risk and have enough capital to survive a really substantial shock that’s at least as bad as the financial crisis.', 'First of all, we are very substantially increasing the supervisory and regulatory oversight of large financial institutions; that includes, for example, the Basel III rules that require higher capital for all banks but particularly for systemically important banks, more liquidity requirements, stress tests, a range of tougher supervisory requirements that are—many of them are embedded in the rule we put out on 165–166, that section of the Dodd–Frank Act.', 'And, indeed, many of the most difficult, complex regulations apply only to the largest and most complex institutions—for example, the capital surcharge that the largest banks have to hold, the complex rules applying to trading books and derivatives, the extra supervision under section 165, the orderly liquidation authority, the liquidity rules—the whole range of things that apply only to the largest , most complex, and internationally active banks.']","banks, banking, capital, stress, largest, community, bank, requirements, tests, institutions"
14,307,14_housing_mortgage_services_homes,"['housing', 'mortgage', 'services', 'homes', 'house', 'home', 'services inflation', 'credit', 'buy', 'sector']","['In the other—in the housing services sector, we expect inflation to continue moving up for a while but then to come down, assuming that [rent increases associated with] new leases continue to be lower.', 'I would say one thing, which is that as the housing industry has strengthened and home prices have gone up, that has actually brought some people into the credit box in the sense that the number of people, for example, who are underwater on their mortgages is declining as house prices go up.', 'Then you go to housing services.']","housing, mortgage, services, homes, house, home, services inflation, credit, buy, sector"
15,293,15_thats think_think thats_thats thinking_thats thats,"['thats think', 'think thats', 'thats thinking', 'thats thats', 'say thats', 'thats say', 'thats really', 'really thinking', 'know thats', 'say way']","['Yes, so I guess I would say it this way.', 'I guess I would say it this way.', 'So I guess I would say it this way.']","thats think, think thats, thats thinking, thats thats, say thats, thats say, thats really, really thinking, know thats, say way"
16,292,16_fiscal_fiscal policy_tax_stimulus,"['fiscal', 'fiscal policy', 'tax', 'stimulus', 'fiscal support', 'congress', 'government', 'authorities', 'advice', 'policy']","['That’s—that’s an important job for fiscal policy.', 'In terms of fiscal policy—you asked about fiscal policy.', 'Fiscal policy is up to Congress.']","fiscal, fiscal policy, tax, stimulus, fiscal support, congress, government, authorities, advice, policy"
17,276,17_risks_risk_downside_concern,"['risks', 'risk', 'downside', 'concern', 'balance risks', 'downside risks', 'risks outlook', 'worry', 'concerned', 'manage']","['But I think you have to see that there are downside risks.', 'And exactly how to balance these two risks, which is more serious—which is a more serious risk—can affect one’ s judgment about the appropriate timing, and we’re all struggling to understand the magnitude and nature of those two risks.', 'Now, I would point out that we decided not to describe the balance of risks as weighted to the downside.']","risks, risk, downside, concern, balance risks, downside risks, risks outlook, worry, concerned, manage"
18,268,18_projections_numbers_precision_estimate,"['projections', 'numbers', 'precision', 'estimate', 'estimates', 'projection', 'credibility', 'individual', 'specific', 'indicators']","['Among other reasons, we want to make sure that people come to the meeting willing to talk and not be wedded to a specific position, and that’s why, again, the Committee makes a collective decision after using as input these projections, which are circulated to all the members of the Committee before the meeting so that they can see what their colleagues believe.', 'So—and I think if you look at the SEP, that is our estimate—our individual—it’s, it’s really a cumulation of our individual estimates of how far to go.', 'I think if you look, for example, at the projections of individual participants that are revealed in the SEP—well, that’s the view of each participant, and, again, I’d emphasize, not a Committee collective view—there is relatively little change in the assessment of the outlook by participants between this meeting and the assessment in June.']","projections, numbers, precision, estimate, estimates, projection, credibility, individual, specific, indicators"
19,266,19_pandemic_spread_distortions_experts,"['pandemic', 'spread', 'distortions', 'experts', 'million', 'unwinding', 'people getting', 'protect', 'shock', 'activity']","['So if I—if I understood your question, it’s—I would say it this way: I think we knew from the time—from before when we lifted off, but certainly by the time we lift—we knew that bringing inflation back down was going to take, as I call it, the unwinding of these distortions to both supply and demand that happened because of the pandemic and the response.', 'There may be people who are around the edges of the labor force who won’t come back in unless they feel really comfortable going back to their old jobs, for example, and there, there may be parts of the economy that will—that just won’t be able to, to really fully reengage until the pandemic is decisively behind us.', 'Clearly a lot of what—some of what we’ve been getting is just the reversal of the—the unwinding of the pandemic-related distortions to both supply and demand.']","pandemic, spread, distortions, experts, million, unwinding, people getting, protect, shock, activity"
20,252,20_forecast_forecasts_forecasters_economic projections,"['forecast', 'forecasts', 'forecasters', 'economic projections', 'projections', 'summary economic', 'forecasting', 'summary', 'optimistic', 'humble']","['And that’s not just our forecast, that’s many forecasts.', 'And that’s why—that’s why you would see it then, because by then, you know, in the forecast—and it’s just a forecast, they’re just individual forecasts.', 'The Summary of Economic Projections is individual forecasts compiled and written down.']","forecast, forecasts, forecasters, economic projections, projections, summary economic, forecasting, summary, optimistic, humble"
21,250,21_spending_consumer_consumer spending_consumption,"['spending', 'consumer', 'consumer spending', 'consumption', 'consumers', 'prices', 'savings', 'sales', 'prices going', 'retail']","['We’re not looking for a decrease in consumer spending.', 'And recent readings on retail sales and on spending on services have suggested an improvement in the pace of consumer spending.', 'And it’s, it’s a lot of consumer spending, you know.']","spending, consumer, consumer spending, consumption, consumers, prices, savings, sales, prices going, retail"
22,240,22_congress_chair_vice chair_vice,"['congress', 'chair', 'vice chair', 'vice', 'elected', 'congress given', 'law', 'yellen', 'administration', 'legal']","['And so that’s really the purpose of—one way to think about the review that Vice Chair Barr is conducting is to try to understand how that happened and try to understand how we can do better and what policies we need to change.', 'I was a Governor for almost six years, and the tradition is, at the Fed, that Governors who understand how difficult the role of Chair is—and as a soon-to-be former Chair, I do understand how hard it is to get consensus with 19 strong-minded people—you work with the Chair, you try to be heard, but also collaborate with the Chair and try to support the Chair when you can.', 'I respect the authority that Congress has deferred on that person, including working with, with Vice Chair Barr and, and his predecessor.']","congress, chair, vice chair, vice, elected, congress given, law, yellen, administration, legal"
23,240,23_meeting_discussion_meetings_press,"['meeting', 'discussion', 'meetings', 'press', 'discussions', 'meeting meeting', 'conferences', 'conference', 'press conference', 'discuss']","['In terms of press conferences, I think it’s important to say that there’s an understanding in the Committee that we’ve had for a while, that there are eight “real” meetings every year—that every meeting is a meeting in which any policy decision can be taken.', 'So that was—as you will recall, we had a discussion about that at the last meeting, and we talked about it in the press conference after the March meeting.', 'So we, we always said—when we were doing quarterly press conferences, we always said “we can move at any meeting”—but we only ever moved at the quarterly SEP meetings where we had the press conference.']","meeting, discussion, meetings, press, discussions, meeting meeting, conferences, conference, press conference, discuss"
24,222,24_funds rate_funds_federal funds_federal,"['funds rate', 'funds', 'federal funds', 'federal', 'rate', 'reinvestment', 'target', 'basis points', 'range', 'path']","['Taking your question—of course, today our decision was to raise the federal funds rate by 25 basis points.', 'The federal funds rate traded in the low 190s, well within the range.', 'It’ s because we’re raising the federal funds rate.']","funds rate, funds, federal funds, federal, rate, reinvestment, target, basis points, range, path"
25,221,25_central_reserve_federal reserve_central bank,"['central', 'reserve', 'federal reserve', 'central bank', 'bank', 'central banks', 'reserve banks', 'federal', 'banks', 'payment']","['That’s why we’re looking for—haven’t done the final roll call—some of the most significant talent we have in the building and across the Reserve Banks on each of these and, in some sense, seconding them to this group for a period of some number of months so that the leaders of the task force know what the most analytical central bank in the world thinks about that.', 'I believe the Federal Reserve is already one of the most transparent central banks of any around the globe.', 'We place high priority on being an accountable and transparent central bank, and I think that if you compare the transparency of monetary policy decisions in the Federal Reserve with other central banks, we are one of the most transparent central banks in terms of the information that we provide to the public in a whole variety of ways.']","central, reserve, federal reserve, central bank, bank, central banks, reserve banks, federal, banks, payment"
26,221,26_views_challenging_range views_unusual,"['views', 'challenging', 'range views', 'unusual', 'differences', 'situation', 'challenge', 'disparate', 'widely', 'athis']","['And I would say, there are a range of views on it.', 'Of course there would be a wide range of views, and you would expect that.', 'I think it would actually be surprising if you didn’t have a pretty wide range of views based, you know, in this kind of highly unusual situation, and we do.']","views, challenging, range views, unusual, differences, situation, challenge, disparate, widely, athis"
27,217,27_wages_wage_wage growth_increases,"['wages', 'wage', 'wage growth', 'increases', 'consistent percent', 'productivity', 'compensation', 'earnings', 'percent inflation', 'gains']","['Wages are at a healthy and, and ever more sustainable level—wage growth.', 'My own expectation is that as the labor market begins to tighten, we will see wage growth pick up some to the point where real wage growth, where compensation or nominal wages are rising more rapidly than inflation, so households are getting a real increase in their take-home pay.', 'Wages are still a bit above what would be their—wage increases, rather, are still just a bit above where they would be over the very longer term to be consistent with 2 percent inflation, but they’re very much coming down to what that sustainable level is.']","wages, wage, wage growth, increases, consistent percent, productivity, compensation, earnings, percent inflation, gains"
28,217,28_market inflation_labor market_strong labor_market strong,"['market inflation', 'labor market', 'strong labor', 'market strong', 'progress inflation', 'labor', 'unemployment inflation', 'increase unemployment', 'strong', 'unemployment']","['It’s for moderate growth, a strong labor market, and inflation near our 2 percent objective.', 'As you can see from our policy statement and from the SEP, we see a favorable economic outlook, with continued moderate growth, a strong labor market, and inflation near our 2 percent objective.', 'In the meantime, the economy is strong, the labor market is strong, inflation has come way down, and that gives us the ability to approach this question carefully and feel more confident that inflation is moving down sustainably at 2 percent when we take that step to begin dialing back our restrictive policy.']","market inflation, labor market, strong labor, market strong, progress inflation, labor, unemployment inflation, increase unemployment, strong, unemployment"
29,214,29_uncertain_uncertainty_highly uncertain_timing,"['uncertain', 'uncertainty', 'highly uncertain', 'timing', 'certainty', 'highly', 'cycle', 'question long', 'theres uncertainty', 'uncertainties']","['We want to avoid adding uncertainty to what’s a highly uncertain situation already.', 'The timing of it is highly uncertain.', 'Of course, the timing of that is highly uncertain.']","uncertain, uncertainty, highly uncertain, timing, certainty, highly, cycle, question long, theres uncertainty, uncertainties"
30,209,30_credit_loans_lending_debt,"['credit', 'loans', 'lending', 'debt', 'loan', 'tightening', 'facilities', 'unsustainable', 'availability', 'banks']","['And, you know, what’s happened in, in the corporate debt market, beginning with the announcement of our corporate credit facility, has been, you’ve seen lenders lending and borrowers borrowing.', 'Are small and medium-sized banks tightening credit standards, and, and is that having an effect on, on loans, on lending?', 'As I said, we’re—we ’re prepared to use our authorities as is appropriate you know, to support borrowing and lending in the economy, and, hence, to support the availability of credit to households and businesses.']","credit, loans, lending, debt, loan, tightening, facilities, unsustainable, availability, banks"
